match_id,season,venue,team1,team2,toss_winner,toss_decision,batting_first_team,bowling_first_team,first_innings_score,first_innings_wickets,second_innings_score,second_innings_wickets,winner,win_by_runs,win_by_wickets,player_of_match_runs,player_of_match_wickets
17,2015,Punjab Cricket Association Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,Delhi Capitals,191,9,103,5,Mumbai Indians,88,0,90,0
18,2015,Arun Jaitley Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,Punjab Kings,202,7,144,5,Royal Challengers Bangalore,58,0,51,1
19,2015,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Kolkata Knight Riders,Chennai Super Kings,181,8,179,6,Kolkata Knight Riders,2,0,90,3
20,2015,Arun Jaitley Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,Mumbai Indians,190,8,151,9,Punjab Kings,39,0,89,0
21,2015,Punjab Cricket Association Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,Chennai Super Kings,189,9,149,10,Mumbai Indians,40,0,61,2
22,2015,Wankhede Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,Delhi Capitals,175,10,100,4,Chennai Super Kings,75,0,79,0
23,2015,M. Chinnaswamy Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,Rajasthan Royals,189,10,128,9,Punjab Kings,61,0,61,2
24,2015,M. Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,Kolkata Knight Riders,161,4,110,10,Delhi Capitals,51,0,82,3
25,2015,Arun Jaitley Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,Punjab Kings,163,4,104,10,Royal Challengers Bangalore,59,0,92,2
26,2015,Rajiv Gandhi Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Royal Challengers Bangalore,176,5,114,10,Sunrisers Hyderabad,62,0,77,0
27,2015,Punjab Cricket Association Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,190,6,131,7,Royal Challengers Bangalore,59,0,86,0
28,2015,Arun Jaitley Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Sunrisers Hyderabad,135,4,80,8,Royal Challengers Bangalore,55,0,52,1
29,2015,M.A. Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Rajasthan Royals,Chennai Super Kings,181,10,146,4,Rajasthan Royals,35,0,61,2
30,2015,M. Chinnaswamy Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,field,Delhi Capitals,Punjab Kings,192,6,128,6,Delhi Capitals,64,0,58,0
31,2015,Eden Gardens,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Delhi Capitals,171,7,126,4,Sunrisers Hyderabad,45,0,58,3
32,2015,Wankhede Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Sunrisers Hyderabad,174,10,92,10,Royal Challengers Bangalore,82,0,53,2
33,2015,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,Sunrisers Hyderabad,212,9,125,7,Mumbai Indians,87,0,88,2
34,2015,Wankhede Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,field,Mumbai Indians,Punjab Kings,174,8,80,7,Mumbai Indians,94,0,41,0
35,2015,Wankhede Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,bat,Punjab Kings,Mumbai Indians,182,8,125,5,Punjab Kings,57,0,47,2
36,2015,Sawai Mansingh Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,187,5,116,7,Royal Challengers Bangalore,71,0,58,0
37,2015,Rajiv Gandhi Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,178,7,151,8,Rajasthan Royals,27,0,68,2
38,2015,Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Delhi Capitals,178,4,103,5,Rajasthan Royals,75,0,91,0
39,2015,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,173,9,140,7,Royal Challengers Bangalore,33,0,65,2
40,2015,Sawai Mansingh Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,Delhi Capitals,198,4,126,5,Rajasthan Royals,72,0,41,1
41,2015,Arun Jaitley Stadium,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Delhi Capitals,167,7,91,10,Royal Challengers Bangalore,76,0,56,1
42,2015,Punjab Cricket Association Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Mumbai Indians,172,8,140,9,Royal Challengers Bangalore,32,0,54,1
43,2015,Punjab Cricket Association Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Delhi Capitals,Rajasthan Royals,175,6,141,5,Delhi Capitals,34,0,78,0
44,2015,Punjab Cricket Association Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,Rajasthan Royals,210,8,139,4,Kolkata Knight Riders,71,0,46,0
45,2015,Arun Jaitley Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,Kolkata Knight Riders,192,9,123,8,Mumbai Indians,69,0,32,2
46,2015,Eden Gardens,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,200,9,119,4,Royal Challengers Bangalore,81,0,80,2
47,2015,Rajiv Gandhi Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,Royal Challengers Bangalore,168,10,144,6,Chennai Super Kings,24,0,59,2
48,2015,Wankhede Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,Rajasthan Royals,175,5,113,7,Kolkata Knight Riders,62,0,72,3
49,2015,Punjab Cricket Association Stadium,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Delhi Capitals,Kolkata Knight Riders,178,8,130,7,Delhi Capitals,48,0,71,0
50,2015,M.A. Chidambaram Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,Royal Challengers Bangalore,185,4,123,9,Mumbai Indians,62,0,85,1
51,2015,Wankhede Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Kolkata Knight Riders,172,5,86,6,Sunrisers Hyderabad,86,0,31,0
52,2015,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,166,6,144,9,Sunrisers Hyderabad,22,0,93,0
53,2015,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,Punjab Kings,Sunrisers Hyderabad,175,7,125,4,Punjab Kings,50,0,47,2
54,2015,Eden Gardens,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,Sunrisers Hyderabad,191,6,146,7,Delhi Capitals,45,0,62,0
55,2015,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Chennai Super Kings,194,8,133,6,Rajasthan Royals,61,0,53,2
56,2015,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Rajasthan Royals,Chennai Super Kings,196,6,159,10,Rajasthan Royals,37,0,55,2
57,2016,Wankhede Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Chennai Super Kings,157,8,138,8,Rajasthan Royals,19,0,40,2
58,2016,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,Rajasthan Royals,193,7,112,3,Sunrisers Hyderabad,81,0,92,0
59,2016,Eden Gardens,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Punjab Kings,Kolkata Knight Riders,185,8,148,10,Punjab Kings,37,0,38,1
60,2016,Punjab Cricket Association Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals,Punjab Kings,186,8,103,7,Delhi Capitals,83,0,34,2
61,2016,Wankhede Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,Rajasthan Royals,174,9,86,3,Sunrisers Hyderabad,88,0,52,2
62,2016,M.A. Chidambaram Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,Mumbai Indians,151,6,141,9,Kolkata Knight Riders,10,0,80,3
63,2016,Eden Gardens,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,Punjab Kings,203,4,126,8,Royal Challengers Bangalore,77,0,39,0
64,2016,M. Chinnaswamy Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,Rajasthan Royals,171,7,163,6,Punjab Kings,8,0,74,1
65,2016,Eden Gardens,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Chennai Super Kings,Delhi Capitals,185,10,108,9,Chennai Super Kings,77,0,75,2
66,2016,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,Royal Challengers Bangalore,166,4,134,8,Punjab Kings,32,0,80,0
67,2016,M. Chinnaswamy Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,Mumbai Indians,172,9,145,9,Kolkata Knight Riders,27,0,69,2
68,2016,Wankhede Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,188,9,124,4,Royal Challengers Bangalore,64,0,36,1
69,2016,Arun Jaitley Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Rajasthan Royals,Delhi Capitals,145,4,102,3,Rajasthan Royals,43,0,58,2
70,2016,Rajiv Gandhi Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Sunrisers Hyderabad,Delhi Capitals,166,8,108,10,Sunrisers Hyderabad,58,0,78,2
71,2016,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,Sunrisers Hyderabad,207,5,107,3,Mumbai Indians,100,0,76,1
72,2016,Eden Gardens,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,Royal Challengers Bangalore,182,5,118,4,Delhi Capitals,64,0,63,3
73,2016,Wankhede Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,bat,Punjab Kings,Delhi Capitals,177,6,113,5,Punjab Kings,64,0,37,1
74,2016,M. Chinnaswamy Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,Delhi Capitals,201,7,106,4,Mumbai Indians,95,0,31,0
75,2016,Eden Gardens,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,Punjab Kings,211,4,108,4,Chennai Super Kings,103,0,82,3
76,2016,Sawai Mansingh Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,Punjab Kings,182,4,88,8,Sunrisers Hyderabad,94,0,38,3
77,2016,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Royal Challengers Bangalore,209,9,150,4,Rajasthan Royals,59,0,71,3
78,2016,M.A. Chidambaram Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Royal Challengers Bangalore,176,7,133,7,Rajasthan Royals,43,0,82,2
79,2016,Sawai Mansingh Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kolkata Knight Riders,194,7,148,3,Royal Challengers Bangalore,46,0,88,2
80,2016,Sawai Mansingh Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,Delhi Capitals,174,9,116,5,Chennai Super Kings,58,0,55,1
81,2016,Eden Gardens,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,Royal Challengers Bangalore,187,7,131,5,Mumbai Indians,56,0,41,2
82,2016,M.A. Chidambaram Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,Mumbai Indians,189,10,141,7,Sunrisers Hyderabad,48,0,54,1
83,2016,Rajiv Gandhi Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,Delhi Capitals,197,5,104,9,Punjab Kings,93,0,43,2
84,2016,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Punjab Kings,Sunrisers Hyderabad,186,5,128,9,Punjab Kings,58,0,46,1
85,2016,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Delhi Capitals,187,4,113,6,Sunrisers Hyderabad,74,0,54,0
86,2016,Rajiv Gandhi Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,174,6,135,5,Royal Challengers Bangalore,39,0,68,1
87,2016,Arun Jaitley Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Royal Challengers Bangalore,169,10,112,9,Sunrisers Hyderabad,57,0,34,0
88,2016,Arun Jaitley Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Rajasthan Royals,149,7,90,6,Sunrisers Hyderabad,59,0,88,1
89,2016,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Chennai Super Kings,Punjab Kings,174,7,111,6,Chennai Super Kings,63,0,88,3
90,2016,M.A. Chidambaram Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Mumbai Indians,184,9,127,7,Sunrisers Hyderabad,57,0,34,1
91,2016,M. Chinnaswamy Stadium,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,Delhi Capitals,182,6,124,8,Kolkata Knight Riders,58,0,42,3
92,2016,M.A. Chidambaram Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Royal Challengers Bangalore,185,8,138,5,Sunrisers Hyderabad,47,0,88,1
93,2016,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Rajasthan Royals,Delhi Capitals,148,8,91,5,Rajasthan Royals,57,0,87,2
94,2016,Punjab Cricket Association Stadium,Punjab Kings,Rajasthan Royals,Punjab Kings,field,Rajasthan Royals,Punjab Kings,176,8,102,5,Rajasthan Royals,74,0,74,0
95,2016,Eden Gardens,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Chennai Super Kings,Punjab Kings,174,6,108,7,Chennai Super Kings,66,0,59,2
96,2016,Arun Jaitley Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,Punjab Kings,Royal Challengers Bangalore,180,10,92,4,Punjab Kings,88,0,89,3
97,2016,Wankhede Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,Kolkata Knight Riders,192,9,118,6,Chennai Super Kings,74,0,49,3
98,2016,Sawai Mansingh Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,Delhi Capitals,176,5,117,8,Rajasthan Royals,59,0,93,2
99,2016,Rajiv Gandhi Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,bat,Punjab Kings,Mumbai Indians,197,5,142,9,Punjab Kings,55,0,55,1
100,2016,Wankhede Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Sunrisers Hyderabad,Rajasthan Royals,202,10,124,8,Sunrisers Hyderabad,78,0,51,2
101,2016,Rajiv Gandhi Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,195,6,152,3,Mumbai Indians,43,0,87,3
102,2016,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,169,4,121,3,Sunrisers Hyderabad,48,0,82,3
103,2016,M. Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,Delhi Capitals,218,7,154,6,Chennai Super Kings,64,0,38,1
104,2016,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Royal Challengers Bangalore,Punjab Kings,200,5,109,8,Royal Challengers Bangalore,91,0,67,3
105,2016,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,175,9,94,6,Rajasthan Royals,81,0,49,0
106,2016,Wankhede Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,Punjab Kings,Royal Challengers Bangalore,174,9,101,9,Punjab Kings,73,0,75,1
107,2016,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Delhi Capitals,Kolkata Knight Riders,195,5,136,6,Delhi Capitals,59,0,91,3
108,2016,Sawai Mansingh Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,Delhi Capitals,174,5,96,8,Chennai Super Kings,78,0,41,2
109,2016,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,Punjab Kings,Sunrisers Hyderabad,182,6,131,6,Punjab Kings,51,0,47,2
110,2016,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,Sunrisers Hyderabad,171,9,84,7,Kolkata Knight Riders,87,0,60,1
111,2016,Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,184,5,123,10,Chennai Super Kings,61,0,63,3
112,2016,M. Chinnaswamy Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,179,5,147,10,Kolkata Knight Riders,32,0,71,3
113,2017,Wankhede Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,Royal Challengers Bangalore,203,7,157,4,Kolkata Knight Riders,46,0,46,2
114,2017,Rajiv Gandhi Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,175,6,122,4,Punjab Kings,53,0,43,3
115,2017,M. Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,Royal Challengers Bangalore,189,7,104,3,Rajasthan Royals,85,0,66,2
116,2017,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,163,8,124,7,Mumbai Indians,39,0,88,0
117,2017,Punjab Cricket Association Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,bat,Punjab Kings,Delhi Capitals,207,10,132,10,Punjab Kings,75,0,72,1
118,2017,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,Chennai Super Kings,187,10,135,10,Delhi Capitals,52,0,58,3
119,2017,M.A. Chidambaram Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,Rajasthan Royals,199,4,135,6,Kolkata Knight Riders,64,0,75,3
120,2017,M.A. Chidambaram Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,Punjab Kings,214,4,116,7,Mumbai Indians,98,0,60,0
121,2017,Sawai Mansingh Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,188,6,163,3,Sunrisers Hyderabad,25,0,83,2
122,2017,M. Chinnaswamy Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Rajasthan Royals,Punjab Kings,178,7,87,8,Rajasthan Royals,91,0,40,2
123,2017,Eden Gardens,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,185,5,122,3,Chennai Super Kings,63,0,41,0
124,2017,Rajiv Gandhi Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,Sunrisers Hyderabad,211,6,126,9,Chennai Super Kings,85,0,76,0
125,2017,Arun Jaitley Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings,Mumbai Indians,182,8,119,6,Punjab Kings,63,0,56,0
126,2017,M.A. Chidambaram Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,Chennai Super Kings,180,7,139,4,Punjab Kings,41,0,68,0
127,2017,Arun Jaitley Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,188,5,124,9,Kolkata Knight Riders,64,0,42,2
128,2017,Rajiv Gandhi Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Royal Challengers Bangalore,186,4,127,4,Rajasthan Royals,59,0,66,3
129,2017,M.A. Chidambaram Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Chennai Super Kings,Delhi Capitals,174,6,119,6,Chennai Super Kings,55,0,62,2
130,2017,Rajiv Gandhi Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,Mumbai Indians,174,4,134,4,Rajasthan Royals,40,0,93,2
131,2017,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,Sunrisers Hyderabad,209,10,148,7,Chennai Super Kings,61,0,65,3
132,2017,Sawai Mansingh Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,Mumbai Indians,190,7,154,5,Sunrisers Hyderabad,36,0,61,0
133,2017,Eden Gardens,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,Kolkata Knight Riders,207,5,165,9,Delhi Capitals,42,0,59,3
134,2017,M. Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,160,10,81,10,Royal Challengers Bangalore,79,0,41,0
135,2017,Rajiv Gandhi Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,Chennai Super Kings,184,4,152,3,Delhi Capitals,32,0,59,0
136,2017,Wankhede Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Delhi Capitals,Chennai Super Kings,180,5,125,3,Delhi Capitals,55,0,31,2
137,2017,M.A. Chidambaram Stadium,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Kolkata Knight Riders,Punjab Kings,183,7,130,7,Kolkata Knight Riders,53,0,41,2
138,2017,Punjab Cricket Association Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,Delhi Capitals,187,4,134,9,Kolkata Knight Riders,53,0,50,2
139,2017,M.A. Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,Delhi Capitals,168,10,108,8,Chennai Super Kings,60,0,94,1
